rdoIdx     armIdx    refApvIdx    apvIdx    sigElecChanId    glbElecChanId    glbGeomChanId
1    0    5    5    1    641    800
1    0    5    5    2    642    672
1    0    5    5    3    643    544
1    0    5    5    4    644    929
1    0    5    5    5    645    801
1    0    5    5    6    646    673
1    0    5    5    7    647    545
1    0    5    5    8    648    930
1    0    5    5    9    649    802
1    0    5    5    10    650    674
1    0    5    5    11    651    546
1    0    5    5    12    652    931
1    0    5    5    13    653    803
1    0    5    5    14    654    675
1    0    5    5    15    655    547
1    0    5    5    16    656    932
1    0    5    5    17    657    804
1    0    5    5    18    658    676
1    0    5    5    19    659    548
1    0    5    5    20    660    933
1    0    5    5    21    661    805
1    0    5    5    22    662    677
1    0    5    5    23    663    549
1    0    5    5    24    664    934
1    0    5    5    25    665    806
1    0    5    5    26    666    678
1    0    5    5    27    667    550
1    0    5    5    28    668    935
1    0    5    5    29    669    807
1    0    5    5    30    670    679
1    0    5    5    31    671    551
1    0    5    5    32    672    936
1    0    5    5    33    673    808
1    0    5    5    34    674    680
1    0    5    5    35    675    552
1    0    5    5    36    676    937
1    0    5    5    37    677    809
1    0    5    5    38    678    681
1    0    5    5    39    679    553
1    0    5    5    40    680    938
1    0    5    5    41    681    810
1    0    5    5    42    682    682
1    0    5    5    43    683    554
1    0    5    5    44    684    939
1    0    5    5    45    685    811
1    0    5    5    46    686    683
1    0    5    5    47    687    555
1    0    5    5    48    688    940
1    0    5    5    49    689    812
1    0    5    5    50    690    684
1    0    5    5    51    691    556
1    0    5    5    52    692    941
1    0    5    5    53    693    813
1    0    5    5    54    694    685
1    0    5    5    55    695    557
1    0    5    5    56    696    942
1    0    5    5    57    697    814
1    0    5    5    58    698    686
1    0    5    5    59    699    558
1    0    5    5    60    700    943
1    0    5    5    61    701    815
1    0    5    5    62    702    687
1    0    5    5    63    703    559
1    0    5    5    64    704    944
1    0    5    5    65    705    816
1    0    5    5    66    706    688
1    0    5    5    67    707    560
1    0    5    5    68    708    945
1    0    5    5    69    709    817
1    0    5    5    70    710    689
1    0    5    5    71    711    561
1    0    5    5    72    712    946
1    0    5    5    73    713    818
1    0    5    5    74    714    690
1    0    5    5    75    715    562
1    0    5    5    76    716    947
1    0    5    5    77    717    819
1    0    5    5    78    718    691
1    0    5    5    79    719    563
1    0    5    5    80    720    948
1    0    5    5    81    721    820
1    0    5    5    82    722    692
1    0    5    5    83    723    564
1    0    5    5    84    724    949
1    0    5    5    85    725    821
1    0    5    5    86    726    693
1    0    5    5    87    727    565
1    0    5    5    88    728    950
1    0    5    5    89    729    822
1    0    5    5    90    730    694
1    0    5    5    91    731    566
1    0    5    5    92    732    951
1    0    5    5    93    733    823
1    0    5    5    94    734    695
1    0    5    5    95    735    567
1    0    5    5    96    736    952
1    0    5    5    97    737    824
1    0    5    5    98    738    696
1    0    5    5    99    739    568
1    0    5    5    100    740    953
1    0    5    5    101    741    825
1    0    5    5    102    742    697
1    0    5    5    103    743    569
1    0    5    5    104    744    954
1    0    5    5    105    745    826
1    0    5    5    106    746    698
1    0    5    5    107    747    570
1    0    5    5    108    748    955
1    0    5    5    109    749    827
1    0    5    5    110    750    699
1    0    5    5    111    751    571
1    0    5    5    112    752    956
1    0    5    5    113    753    828
1    0    5    5    114    754    700
1    0    5    5    115    755    572
1    0    5    5    116    756    957
1    0    5    5    117    757    829
1    0    5    5    118    758    701
1    0    5    5    119    759    573
1    0    5    5    120    760    958
1    0    5    5    121    761    830
1    0    5    5    122    762    702
1    0    5    5    123    763    574
1    0    5    5    124    764    959
1    0    5    5    125    765    831
1    0    5    5    126    766    703
1    0    5    5    127    767    575
1    0    6    6    0    768    576
1    0    6    6    1    769    704
1    0    6    6    2    770    832
1    0    6    6    3    771    960
1    0    6    6    4    772    577
1    0    6    6    5    773    705
1    0    6    6    6    774    833
1    0    6    6    7    775    961
1    0    6    6    8    776    578
1    0    6    6    9    777    706
1    0    6    6    10    778    834
1    0    6    6    11    779    962
1    0    6    6    12    780    579
1    0    6    6    13    781    707
1    0    6    6    14    782    835
1    0    6    6    15    783    963
1    0    6    6    16    784    580
1    0    6    6    17    785    708
1    0    6    6    18    786    836
1    0    6    6    19    787    964
1    0    6    6    20    788    581
1    0    6    6    21    789    709
1    0    6    6    22    790    837
1    0    6    6    23    791    965
1    0    6    6    24    792    582
1    0    6    6    25    793    710
1    0    6    6    26    794    838
1    0    6    6    27    795    966
1    0    6    6    28    796    583
1    0    6    6    29    797    711
1    0    6    6    30    798    839
1    0    6    6    31    799    967
1    0    6    6    32    800    584
1    0    6    6    33    801    712
1    0    6    6    34    802    840
1    0    6    6    35    803    968
1    0    6    6    36    804    585
1    0    6    6    37    805    713
1    0    6    6    38    806    841
1    0    6    6    39    807    969
1    0    6    6    40    808    586
1    0    6    6    41    809    714
1    0    6    6    42    810    842
